plan_index,line_number,motion,movement_type,pcb_x_mm,pcb_y_mm,machine_x_mm,machine_y_mm,programmed_z_mm,surface_z_machine_mm,delta_z_mm,final_z_mm,feed_mm_min,uses_surface_map
0,3,G0,desplazamiento_rapido,0.0,0.0,100.0,200.0,0.0,3,0.0,3.0,,False
1,4,G1,movimiento_lineal,0.0,0.0,100.0,200.0,-0.1,3.003,0.003,2.903,120.0,True
2,5,G1,movimiento_lineal,0.1,0.0,100.1,200.0,-0.1,3.0034,0.0033999999999999985,2.9034,240.0,True
3,5,G1,movimiento_lineal,0.2,0.0,100.2,200.0,-0.1,3.0038,0.0038000000000000004,2.9038,240.0,True
4,5,G1,movimiento_lineal,0.30000000000000004,0.0,100.3,200.0,-0.1,3.0042,0.004199999999999999,2.9042,240.0,True
5,5,G1,movimiento_lineal,0.4,0.0,100.4,200.0,-0.1,3.0046,0.004600000000000001,2.9046,240.0,True
6,5,G1,movimiento_lineal,0.5,0.0,100.5,200.0,-0.1,3.005,0.005,2.905,240.0,True
7,5,G1,movimiento_lineal,0.6000000000000001,0.0,100.6,200.0,-0.1,3.0054,0.0053999999999999986,2.9053999999999998,240.0,True
8,5,G1,movimiento_lineal,0.7,0.0,100.7,200.0,-0.1,3.0058,0.0058000000000000005,2.9057999999999997,240.0,True
9,5,G1,movimiento_lineal,0.8,0.0,100.8,200.0,-0.1,3.0062,0.006199999999999999,2.9062,240.0,True
10,5,G1,movimiento_lineal,0.8999999999999999,0.0,100.9,200.0,-0.1,3.0066,0.006600000000000002,2.9066,240.0,True
11,5,G1,movimiento_lineal,1.0,0.0,101.0,200.0,-0.1,3.007,0.007,2.907,240.0,True
12,5,G1,movimiento_lineal,1.0999999999999999,0.0,101.1,200.0,-0.1,3.0074,0.007399999999999998,2.9074,240.0,True
13,5,G1,movimiento_lineal,1.2000000000000002,0.0,101.2,200.0,-0.1,3.0078,0.0078000000000000005,2.9078,240.0,True
14,5,G1,movimiento_lineal,1.3,0.0,101.3,200.0,-0.1,3.0082,0.008199999999999999,2.9082,240.0,True
15,5,G1,movimiento_lineal,1.4,0.0,101.4,200.0,-0.1,3.0086,0.008600000000000002,2.9086,240.0,True
16,5,G1,movimiento_lineal,1.5,0.0,101.5,200.0,-0.1,3.009,0.009,2.909,240.0,True
17,5,G1,movimiento_lineal,1.6,0.0,101.6,200.0,-0.1,3.0094,0.009399999999999999,2.9093999999999998,240.0,True
18,5,G1,movimiento_lineal,1.7,0.0,101.7,200.0,-0.1,3.0098,0.0098,2.9097999999999997,240.0,True
19,5,G1,movimiento_lineal,1.7999999999999998,0.0,101.8,200.0,-0.1,3.0102,0.010199999999999997,2.9102,240.0,True
20,5,G1,movimiento_lineal,1.9,0.0,101.9,200.0,-0.1,3.0106,0.0106,2.9106,240.0,True
21,5,G1,movimiento_lineal,2.0,0.0,102.0,200.0,-0.1,3.011,0.011,2.911,240.0,True
22,5,G1,movimiento_lineal,2.0999999999999996,0.0,102.1,200.0,-0.1,3.0122,0.012199999999999996,2.9122,240.0,True
23,5,G1,movimiento_lineal,2.1999999999999997,0.0,102.2,200.0,-0.1,3.0134,0.013399999999999992,2.9133999999999998,240.0,True
24,5,G1,movimiento_lineal,2.3000000000000003,0.0,102.3,200.0,-0.1,3.0146,0.01460000000000001,2.9146,240.0,True
25,5,G1,movimiento_lineal,2.4000000000000004,0.0,102.4,200.0,-0.1,3.0158,0.015800000000000005,2.9158,240.0,True
26,5,G1,movimiento_lineal,2.5,0.0,102.5,200.0,-0.1,3.017,0.017,2.917,240.0,True
27,5,G1,movimiento_lineal,2.6,0.0,102.6,200.0,-0.1,3.0182,0.018199999999999997,2.9182,240.0,True
28,5,G1,movimiento_lineal,2.7,0.0,102.7,200.0,-0.1,3.0194,0.019400000000000004,2.9194,240.0,True
29,5,G1,movimiento_lineal,2.8,0.0,102.8,200.0,-0.1,3.0206,0.0206,2.9206,240.0,True
30,5,G1,movimiento_lineal,2.9,0.0,102.9,200.0,-0.1,3.0218,0.021800000000000007,2.9217999999999997,240.0,True
31,5,G1,movimiento_lineal,3.0,0.0,103.0,200.0,-0.1,3.023,0.023,2.923,240.0,True
32,5,G1,movimiento_lineal,3.1000000000000005,0.0,103.1,200.0,-0.1,3.0242,0.02420000000000001,2.9242,240.0,True
33,5,G1,movimiento_lineal,3.2,0.0,103.2,200.0,-0.1,3.0254,0.025400000000000006,2.9254,240.0,True
34,5,G1,movimiento_lineal,3.3000000000000003,0.0,103.3,200.0,-0.1,3.0266,0.026600000000000013,2.9266,240.0,True
35,5,G1,movimiento_lineal,3.4,0.0,103.4,200.0,-0.1,3.0278,0.027800000000000005,2.9278,240.0,True
36,5,G1,movimiento_lineal,3.5,0.0,103.5,200.0,-0.1,3.029,0.029000000000000005,2.929,240.0,True
37,5,G1,movimiento_lineal,3.5999999999999996,0.0,103.6,200.0,-0.1,3.0302,0.0302,2.9301999999999997,240.0,True
38,5,G1,movimiento_lineal,3.7,0.0,103.7,200.0,-0.1,3.0314,0.031400000000000004,2.9314,240.0,True
39,5,G1,movimiento_lineal,3.8,0.0,103.8,200.0,-0.1,3.0326,0.032600000000000004,2.9326,240.0,True
40,5,G1,movimiento_lineal,3.9000000000000004,0.0,103.9,200.0,-0.1,3.0338,0.03380000000000001,2.9337999999999997,240.0,True
41,5,G1,movimiento_lineal,4.0,0.0,104.0,200.0,-0.1,3.035,0.035,2.935,240.0,True
42,5,G1,movimiento_lineal,4.1,0.0,104.1,200.0,-0.1,3.037,0.037,2.937,240.0,True
43,5,G1,movimiento_lineal,4.199999999999999,0.0,104.2,200.0,-0.1,3.039,0.03899999999999999,2.939,240.0,True
44,5,G1,movimiento_lineal,4.3,0.0,104.3,200.0,-0.1,3.041,0.04100000000000002,2.941,240.0,True
45,5,G1,movimiento_lineal,4.3999999999999995,0.0,104.4,200.0,-0.1,3.043,0.04299999999999998,2.943,240.0,True
46,5,G1,movimiento_lineal,4.5,0.0,104.5,200.0,-0.1,3.045,0.04500000000000001,2.945,240.0,True
47,5,G1,movimiento_lineal,4.6000000000000005,0.0,104.6,200.0,-0.1,3.047,0.047000000000000035,2.947,240.0,True
48,5,G1,movimiento_lineal,4.7,0.0,104.7,200.0,-0.1,3.049,0.048999999999999995,2.949,240.0,True
49,5,G1,movimiento_lineal,4.800000000000001,0.0,104.8,200.0,-0.1,3.051,0.05100000000000002,2.951,240.0,True
50,5,G1,movimiento_lineal,4.9,0.0,104.9,200.0,-0.1,3.053,0.05300000000000002,2.953,240.0,True
51,5,G1,movimiento_lineal,5.0,0.0,105.0,200.0,-0.1,3.055,0.05500000000000001,2.955,240.0,True
52,5,G1,movimiento_lineal,5.1,0.0,105.1,200.0,-0.1,3.057,0.057,2.957,240.0,True
53,5,G1,movimiento_lineal,5.2,0.0,105.2,200.0,-0.1,3.059,0.059,2.959,240.0,True
54,5,G1,movimiento_lineal,5.3,0.0,105.3,200.0,-0.1,3.061,0.061000000000000026,2.961,240.0,True
55,5,G1,movimiento_lineal,5.4,0.0,105.4,200.0,-0.1,3.063,0.06300000000000001,2.963,240.0,True
56,5,G1,movimiento_lineal,5.5,0.0,105.5,200.0,-0.1,3.065,0.065,2.965,240.0,True
57,5,G1,movimiento_lineal,5.6,0.0,105.6,200.0,-0.1,3.067,0.067,2.967,240.0,True
58,5,G1,movimiento_lineal,5.699999999999999,0.0,105.7,200.0,-0.1,3.069,0.06899999999999999,2.969,240.0,True
59,5,G1,movimiento_lineal,5.8,0.0,105.8,200.0,-0.1,3.071,0.07100000000000004,2.971,240.0,True
60,5,G1,movimiento_lineal,5.8999999999999995,0.0,105.9,200.0,-0.1,3.073,0.07299999999999998,2.973,240.0,True
61,5,G1,movimiento_lineal,6.0,0.0,106.0,200.0,-0.1,3.075,0.07500000000000001,2.975,240.0,True
